litho_code,lithology_name,n_samples,rock_group,tier,lith_class,keep,note
PYRO,Pyroclastic,1,Igneous Extrusive Fragmental,basement,Felsic-intermediate igneous,Y,SARIG felsic/intermediate/undiff igneous [ROCK_GROUP: Igneous Extrusive Fragmental]
QGTD,Quartz-Rich Granitoid,1,Igneous Felsic Intrusive,basement,Felsic-intermediate igneous,Y,SARIG felsic/intermediate/undiff igneous [ROCK_GROUP: Igneous Felsic Intrusive]
QZMZ,Quartz Monzonite,1,Igneous Intermediate Intrusive,basement,Felsic-intermediate igneous,Y,SARIG felsic/intermediate/undiff igneous [ROCK_GROUP: Igneous Intermediate Intrusive]
SAPK,Saprock,1,Saprolith,interburden,In-situ regolith,Y,SARIG saprolith = in-situ weathering [ROCK_GROUP: Saprolith]
QZTR,Quartz Trachyte,1,Igneous Intermediate Extrusive,basement,Felsic-intermediate igneous,Y,SARIG felsic/intermediate/undiff igneous [ROCK_GROUP: Igneous Intermediate Extrusive]
QZRU,Quartz Rock (Undiff. Origin),1,General/Miscellaneous,basement,EXCLUDED,N,unresolvable without protolith info [ROCK_GROUP: General/Miscellaneous]
SPST,Soapstone,1,Metamorphic General,basement,Metamorphic,Y,SARIG metamorphic [ROCK_GROUP: Metamorphic General]
TCTO,Tectonite,1,Metamorphic Dynamic,basement,EXCLUDED,N,fault rock: chemistry inherits unknown protolith [ROCK_GROUP: Metamorphic Dynamic]
TALU,Talus,1,Sediment Siliciclastic Rudite,basement,Clastic sediment,Y,SARIG siliciclastic sediment [ROCK_GROUP: Sediment Siliciclastic Rudite]
UEXT,Ultramafic Extrusive,1,Igneous Ultramafic Extrusive,basement,Mafic-ultramafic igneous,Y,SARIG ultramafic igneous [ROCK_GROUP: Igneous Ultramafic Extrusive]
WEHR,Wehrlite,1,Igneous Ultramafic Intrusive,basement,Mafic-ultramafic igneous,Y,SARIG ultramafic igneous [ROCK_GROUP: Igneous Ultramafic Intrusive]
